Renter_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
